Date,Description,Amount
2026-02-05,NETFLIX.COM,15.99
2026-02-08,SPOTIFY USA,10.99
2026-02-18,AMAZON.COM*308496,114.50
2026-03-05,NETFLIX.COM,15.99
2026-03-08,SPOTIFY USA,10.99
2026-03-11,AMAZON.COM*476417,130.94
2026-03-11,THE CORNER BISTRO,78.79
2026-03-14,AMAZON.COM*946335,30.43
2026-03-25,PAYMENT RECEIVED - THANK YOU,-360.64
2026-04-05,NETFLIX.COM,15.99
2026-04-08,SPOTIFY USA,10.99
2026-04-11,AMAZON.COM*498591,59.75
2026-04-15,THE CORNER BISTRO,42.32
2026-04-25,PAYMENT RECEIVED - THANK YOU,-174.22
2026-05-05,NETFLIX.COM,15.99
2026-05-08,SPOTIFY USA,10.99
2026-05-10,THE CORNER BISTRO,71.23
2026-05-15,AMAZON.COM*983794,121.04
2026-05-25,PAYMENT RECEIVED - THANK YOU,-295.99
2026-06-05,NETFLIX.COM,15.99
2026-06-08,SPOTIFY USA,10.99
2026-06-10,THE CORNER BISTRO,73.75
2026-06-13,AMAZON.COM*245051,88.69
2026-06-16,AMAZON.COM*711878,74.93
2026-06-25,PAYMENT RECEIVED - THANK YOU,-356.87
2026-07-05,NETFLIX.COM,15.99
